NEW_DATE,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
2014-01-02,0.09,0.13,0.39,0.76,1.72,2.41,3.0,3.68,3.92
2014-01-03,0.1,0.13,0.41,0.8,1.73,2.42,3.01,3.69,3.93
2014-01-06,0.08,0.12,0.4,0.78,1.7,2.38,2.98,3.66,3.9
2014-01-07,0.08,0.13,0.4,0.8,1.69,2.37,2.96,3.64,3.88
2014-01-08,0.08,0.13,0.43,0.87,1.77,2.44,3.01,3.67,3.9
2014-01-09,0.06,0.13,0.44,0.86,1.75,2.41,2.97,3.62,3.88
2014-01-10,0.06,0.12,0.39,0.77,1.64,2.29,2.88,3.54,3.8
2014-01-13,0.06,0.11,0.39,0.74,1.6,2.25,2.84,3.52,3.77
2014-01-14,0.06,0.11,0.39,0.78,1.65,2.3,2.88,3.54,3.8
2014-01-15,0.06,0.13,0.41,0.81,1.68,2.33,2.9,3.55,3.81
2014-01-16,0.07,0.11,0.41,0.8,1.66,2.3,2.86,3.52,3.77
2014-01-17,0.07,0.11,0.4,0.79,1.64,2.27,2.84,3.5,3.75
2014-01-21,0.07,0.12,0.4,0.81,1.67,2.29,2.85,3.5,3.74
2014-01-22,0.07,0.11,0.44,0.85,1.72,2.34,2.87,3.52,3.75
2014-01-23,0.05,0.11,0.39,0.77,1.62,2.24,2.79,3.44,3.68
2014-01-24,0.06,0.11,0.37,0.75,1.58,2.2,2.75,3.4,3.64
2014-01-27,0.07,0.11,0.37,0.76,1.61,2.24,2.78,3.43,3.67
2014-01-28,0.07,0.11,0.38,0.75,1.59,2.22,2.77,3.43,3.68
2014-01-29,0.07,0.11,0.36,0.71,1.52,2.15,2.69,3.36,3.62
2014-01-30,0.06,0.1,0.36,0.72,1.55,2.19,2.72,3.4,3.65
2014-01-31,0.06,0.1,0.34,0.69,1.49,2.13,2.67,3.35,3.61
2014-02-03,0.07,0.11,0.3,0.64,1.44,2.07,2.61,3.29,3.55
2014-02-04,0.07,0.12,0.31,0.65,1.46,2.09,2.64,3.33,3.59
2014-02-05,0.07,0.12,0.32,0.66,1.5,2.14,2.7,3.4,3.66
2014-02-06,0.08,0.13,0.33,0.69,1.52,2.17,2.73,3.42,3.67
2014-02-07,0.09,0.12,0.3,0.66,1.47,2.13,2.71,3.39,3.67
2014-02-10,0.1,0.12,0.32,0.66,1.48,2.13,2.7,3.38,3.66
2014-02-11,0.1,0.12,0.35,0.71,1.54,2.19,2.75,3.42,3.69
2014-02-12,0.09,0.12,0.35,0.74,1.59,2.23,2.8,3.45,3.72
2014-02-13,0.08,0.12,0.32,0.7,1.51,2.16,2.73,3.4,3.7
2014-02-14,0.07,0.11,0.32,0.71,1.53,2.17,2.75,3.41,3.69
2014-02-18,0.08,0.12,0.31,0.67,1.5,2.14,2.71,3.4,3.68
2014-02-19,0.09,0.11,0.33,0.69,1.53,2.17,2.73,3.42,3.71
2014-02-20,0.08,0.12,0.34,0.72,1.57,2.2,2.76,3.44,3.73
2014-02-21,0.08,0.12,0.33,0.71,1.56,2.19,2.73,3.41,3.69
2014-02-24,0.08,0.11,0.35,0.72,1.57,2.2,2.75,3.42,3.7
2014-02-25,0.08,0.11,0.34,0.7,1.53,2.16,2.7,3.37,3.66
2014-02-26,0.08,0.11,0.33,0.68,1.5,2.12,2.67,3.34,3.63
2014-02-27,0.07,0.11,0.33,0.68,1.49,2.11,2.65,3.31,3.6
2014-02-28,0.08,0.12,0.33,0.69,1.51,2.13,2.66,3.31,3.59
2014-03-03,0.08,0.12,0.32,0.66,1.46,2.07,2.6,3.27,3.55
2014-03-04,0.08,0.12,0.33,0.71,1.54,2.17,2.7,3.36,3.64
2014-03-05,0.09,0.13,0.33,0.71,1.54,2.16,2.7,3.36,3.64
2014-03-06,0.08,0.12,0.37,0.73,1.57,2.2,2.74,3.4,3.68
2014-03-07,0.09,0.13,0.38,0.79,1.65,2.27,2.8,3.45,3.72
2014-03-10,0.08,0.12,0.37,0.79,1.64,2.26,2.79,3.45,3.73
2014-03-11,0.08,0.13,0.37,0.79,1.62,2.25,2.77,3.43,3.7
2014-03-12,0.08,0.12,0.37,0.78,1.59,2.2,2.73,3.38,3.66
2014-03-13,0.08,0.12,0.34,0.74,1.53,2.14,2.66,3.31,3.6
2014-03-14,0.08,0.12,0.36,0.74,1.55,2.14,2.65,3.3,3.59
2014-03-17,0.08,0.13,0.38,0.77,1.58,2.19,2.7,3.34,3.63
2014-03-18,0.07,0.13,0.36,0.75,1.56,2.16,2.68,3.33,3.62
2014-03-19,0.09,0.15,0.47,0.91,1.75,2.31,2.78,3.39,3.66
2014-03-20,0.09,0.14,0.45,0.9,1.73,2.31,2.79,3.4,3.67
2014-03-21,0.08,0.14,0.45,0.91,1.73,2.3,2.75,3.34,3.61
2014-03-24,0.08,0.14,0.47,0.93,1.76,2.31,2.74,3.31,3.57
2014-03-25,0.08,0.13,0.47,0.92,1.76,2.32,2.75,3.32,3.59
2014-03-26,0.07,0.12,0.45,0.89,1.7,2.27,2.71,3.29,3.55
2014-03-27,0.06,0.12,0.45,0.9,1.7,2.26,2.69,3.25,3.52
2014-03-28,0.06,0.13,0.45,0.93,1.74,2.31,2.73,3.29,3.55
2014-03-31,0.07,0.13,0.44,0.9,1.73,2.3,2.73,3.31,3.56
2014-04-01,0.06,0.13,0.44,0.91,1.74,2.32,2.77,3.35,3.6
