Curve:JPY.TONAR
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve,maturity year frac,zero rate,recomputed curve targets
TONAR Swap,swap,Spot,1M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,0.08493150684931507,-0.0005250117049699847,-0.0005249999999980136
TONAR Swap,swap,Spot,2M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,0.1643835616438356,-0.0005250226554131218,-0.0005249999999991467
TONAR Swap,swap,Spot,3M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,0.2493150684931507,-0.0005250343617318212,-0.0005250000000000966
TONAR Swap,swap,Spot,4M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,0.3315068493150685,-0.0005250456910892056,-0.0005250000000000708
TONAR Swap,swap,Spot,5M,-0.000525,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,0.41643835616438357,-0.0005250573987770183,-0.0005249999999996154
TONAR Swap,swap,Spot,6M,-0.00054,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,0.4986301369863014,-0.0005400727133267692,-0.0005399999999998941
TONAR Swap,swap,Spot,9M,-0.0005625,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,0.7506849315068493,-0.0005626187941444528,-0.0005624999999998077
TONAR Swap,swap,Spot,1Y,-0.00059375,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,1.0027397260273974,-0.0005939268226490377,-0.0005937500000001181
TONAR Swap,swap,Spot,18M,-0.0005813,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,1.4986301369863013,-0.0005814368352059757,-0.0005812999999999261
TONAR Swap,swap,Spot,2Y,-0.000575,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,2.0027397260273974,-0.0005751710188494354,-0.0005749999999999398
TONAR Swap,swap,Spot,3Y,-0.000575,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,3.0027397260273974,-0.0005751691395816108,-0.0005750000000000253
TONAR Swap,swap,Spot,4Y,-0.00055625,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,4.002739726027397,-0.0005564231581250458,-0.0005562500000000063
TONAR Swap,swap,Spot,5Y,-0.00049375,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,5.005479452054795,-0.0004939467960245044,-0.0004937500000000084
TONAR Swap,swap,Spot,7Y,-0.00025,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,7.005479452054795,-0.0002502153023414394,-0.00024999999999999784
TONAR Swap,swap,Spot,10Y,0.00033125,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,10.008219178082191,0.0003320682123739813,0.0003312499999999957
TONAR Swap,swap,Spot,12Y,0.0007625,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,12.008219178082191,0.0007655568726047293,0.0007624999999999823
TONAR Swap,swap,Spot,15Y,0.00145,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,15.01095890410959,0.0014602083085789872,0.0014499999999999847
TONAR Swap,swap,Spot,20Y,0.0023625,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,20.013698630136986,0.002390566130841087,0.0023624999999999727
TONAR Swap,swap,Spot,25Y,0.00293,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,25.019178082191782,0.002974005333391613,0.00292999999999998
TONAR Swap,swap,Spot,30Y,0.0032875,12M,3M,JPY.TONAR,na,JPY.TONAR,JPY.TONAR,30.02191780821918,0.0033430148257528685,0.003287499999999987
Curve:JPY.LIBOR.3M
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve,maturity year frac,zero rate,recomputed curve targets
LIBOR3M Future,future,1M,3M,100.0425,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na,0.3315068493150685,-0.0004250222703914915,-0.0004249999999998237
LIBOR3M Future,future,2M,3M,100.04625,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na,0.41643835616438357,-0.000447722477346685,-0.0004625000000005681
LIBOR3M Future,future,3M,3M,100.0525,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na,0.4986301369863014,-0.000475028316061436,-0.0005249999999996512
LIBOR3M Future,future,4M,3M,100.0475,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na,0.5835616438356165,-0.0004466211781215147,-0.0004750000000001311
LIBOR3M Future,future,5M,3M,100.05125,na,na,JPY.TONAR,JPY.LIBOR.3M,na,na,0.6684931506849315,-0.0004721592712796209,-0.0005124999999992605
