Curve:JPY.LIBOR.6M
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve,maturity year frac,zero rate,recomputed curve targets
LIBOR6M FRA,FRA,0M,6M,0.000242,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na,0.4986301369863014,0.00024198540028680065,0.00024200000000009622
LIBOR6M FRA,FRA,1M,6M,0.0002,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na,0.5835616438356165,0.00020610203059128742,0.00020000000000069412
LIBOR6M FRA,FRA,2M,6M,0.000153,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na,0.6684931506849315,0.00017487720659224135,0.00015300000000000697
LIBOR6M FRA,FRA,3M,6M,0.0001125,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na,0.7506849315068493,0.0001555021563438081,0.00011250000000027896
LIBOR6M FRA,FRA,4M,6M,7.8e-05,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na,0.8356164383561644,0.00014305557796004165,7.799999999998628e-05
LIBOR6M FRA,FRA,5M,6M,5e-05,na,na,JPY.TONAR,JPY.LIBOR.6M,na,na,0.9178082191780822,0.0001371094512154779,5.000000000037002e-05
Libor6M Swap,swap,Spot,1Y,0.000129,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,1.0027397260273974,0.00012901103209118857,0.00012899999999990157
Libor6M Swap,swap,Spot,2Y,0.0001,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,2.0027397260273974,0.00010001429812356061,9.999999999996333e-05
Libor6M Swap,swap,Spot,3Y,0.0001,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,3.0027397260273974,0.00010000870396390907,9.999999999998928e-05
Libor6M Swap,swap,Spot,4Y,0.0001458,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,4.002739726027397,0.00014576316936183267,0.00014579999999997896
Libor6M Swap,swap,Spot,5Y,0.000252,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,5.005479452054795,0.00025185050279124166,0.00025199999999997024
Libor6M Swap,swap,Spot,6Y,0.000392,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,6.005479452054795,0.0003917332489975083,0.00039199999999992377
Libor6M Swap,swap,Spot,7Y,0.00057,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,7.005479452054795,0.0005696395781097776,0.0005699999999999267
Libor6M Swap,swap,Spot,8Y,0.00078,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,8.005479452054795,0.0007796919100076859,0.0007799999999999149
Libor6M Swap,swap,Spot,10Y,0.001,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,10.008219178082191,0.001000194145201254,0.0009999999999999376
Libor6M Swap,swap,Spot,12Y,0.00125,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,12.008219178082191,0.0012515603372584441,0.0012499999999999452
Libor6M Swap,swap,Spot,15Y,0.00173,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,15.01095890410959,0.0017369203350716459,0.0017299999999999438
Libor6M Swap,swap,Spot,20Y,0.0034,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,20.013698630136986,0.0034429208094165025,0.0033999999999999187
Libor6M Swap,swap,Spot,25Y,0.004,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,25.019178082191782,0.004057623256775832,0.003999999999999915
Libor6M Swap,swap,Spot,30Y,0.00439,6M,6M,JPY.TONAR,na,JPY.TONAR,JPY.LIBOR.6M,30.02191780821918,0.004459096716761509,0.004389999999999926
