Curve:JPY.XCCY.DISC
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve,maturity year frac,zero rate,computed targets
JPYUSD FX Forward,fx forward,spot,1m,108.547,na,na,JPY.XCCY.DISC,na,USD.OIS,na,0.08493150684931507,0.0785728252866221,0.05948360004384952
JPYUSD FX Forward,fx forward,spot,2m,108.3655,na,na,JPY.XCCY.DISC,na,USD.OIS,na,0.1643835616438356,0.03914481835715492,0.020552818710173025
JPYUSD FX Forward,fx forward,spot,3m,108.3,na,na,JPY.XCCY.DISC,na,USD.OIS,na,0.2493150684931507,0.029283519241676905,0.011126190243897879
JPYUSD FX Forward,fx forward,spot,4m,108.252,na,na,JPY.XCCY.DISC,na,USD.OIS,na,0.3315068493150685,0.02476103525859866,0.007030368582421783
JPYUSD FX Forward,fx forward,spot,5m,108.15,na,na,JPY.XCCY.DISC,na,USD.OIS,na,0.41643835616438357,0.02064912134340527,0.003332846877102287
JPYUSD FX Forward,fx forward,spot,6m,107.875,na,na,JPY.XCCY.DISC,na,USD.OIS,na,0.4986301369863014,0.014689171913972643,-0.0023225185056544705
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,9m,-0.0020125,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,0.7506849315068493,-0.0037342528734611038,-0.0020124999999998434
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,1y,-0.0026,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,1.0027397260273974,-0.006069407049419098,-0.002599999999999898
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,2Y,-0.00297,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,2.0027397260273974,-0.006042616350427509,-0.002969999999999932
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,3Y,-0.0033,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,3.0027397260273974,-0.006290561446043966,-0.003299999999999971
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,4Y,-0.0037,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,4.002739726027397,-0.006566298323638693,-0.003699999999999998
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,5Y,-0.0039,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,5.005479452054795,-0.0066974299520582035,-0.003900000000000008
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,6Y,-0.0042,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,6.005479452054795,-0.006891804085125537,-0.004200000000000015
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,7Y,-0.0044,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,7.005479452054795,-0.006833183932685337,-0.004400000000000046
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,8Y,-0.0045,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,8.005479452054795,-0.0067481982834036915,-0.00450000000000002
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,10Y,-0.0046,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,10.008219178082191,-0.006660351212987202,-0.004599999999999994
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,15Y,-0.0047,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,15.01095890410959,-0.005947216502245544,-0.0047000000000000375
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,20Y,-0.0046,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,20.013698630136986,-0.004166575231030765,-0.004599999999999945
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,25Y,-0.0045,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,25.019178082191782,-0.003469581099273479,-0.0045
JPYUSD MTM Basis Swap,mtmxccy basis swap,Spot,30Y,-0.0044,3M,3M,JPY.XCCY.DISC,JPY.LIBOR.3M,USD.OIS,USD.LIBOR.3M,30.02191780821918,-0.0029912143891071847,-0.0044
