Curve:USD.LIBOR.6M
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve,maturity year frac,zero rate,recomputed curve targets
Libor3M6M Basis Swap,basis swap,Spot,1Y,0.0006,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,1.0027397260273974,0.01744040648982591,0.0006000000000000117
Libor3M6M Basis Swap,basis swap,Spot,2Y,0.0006,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,2.0027397260273974,0.017124914052421267,0.0005999999999999547
Libor3M6M Basis Swap,basis swap,Spot,3Y,0.0006,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,3.0027397260273974,0.01632145396927189,0.0005999999999999963
Libor3M6M Basis Swap,basis swap,Spot,4Y,0.0007,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,4.002739726027397,0.01602139621302932,0.0007000000000000118
Libor3M6M Basis Swap,basis swap,Spot,5Y,0.0007,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,5.005479452054795,0.015922675785849535,0.0007000000000000435
Libor3M6M Basis Swap,basis swap,Spot,6Y,0.0008,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,6.005479452054795,0.016027679192948945,0.0008000000000000287
Libor3M6M Basis Swap,basis swap,Spot,7Y,0.0008,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,7.005479452054795,0.016132157488992032,0.0008000000000000088
Libor3M6M Basis Swap,basis swap,Spot,8Y,0.0009,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,8.005479452054795,0.016444634558789403,0.000899999999999968
Libor3M6M Basis Swap,basis swap,Spot,10Y,0.0009,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,10.008219178082191,0.016967533302536378,0.0008999999999999599
Libor3M6M Basis Swap,basis swap,Spot,12Y,0.0009,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,12.008219178082191,0.017281733925820796,0.0008999999999999658
Libor3M6M Basis Swap,basis swap,Spot,15Y,0.001,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,15.01095890410959,0.017924980103634223,0.0009999999999999786
Libor3M6M Basis Swap,basis swap,Spot,20Y,0.001,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,20.013698630136986,0.01846167406091878,0.0009999999999999766
Libor3M6M Basis Swap,basis swap,Spot,25Y,0.001,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,25.019178082191782,0.018550246880340387,0.0009999999999999805
Libor3M6M Basis Swap,basis swap,Spot,30Y,0.001,3M,6M,USD.OIS,USD.LIBOR.3M,USD.OIS,USD.LIBOR.6M,30.02191780821918,0.018650427490143538,0.000999999999999978
