Curve:USD.OIS
Instruement,Type,Start Tenor,Tenor,Market Quote,Leg1 Freq,Leg2 Freq,DiscountCurve,ForwardCurve,Leg2 DiscountCurve,Leg2 ForwardCurve,maturity year frac,zero rate,recomputed curve targets
fedfund future,fedfund future,Spot,1M,98.1513,na,na,USD.OIS,USD.OIS,na,na,0.08493150684931507,0.019082855987012703,0.018486999999997034
fedfund future,fedfund future,1M,1M,98.2525,na,na,USD.OIS,USD.OIS,na,na,0.1643835616438356,0.018596759174505702,0.017475000000000535
fedfund future,fedfund future,2M,1M,98.32,na,na,USD.OIS,USD.OIS,na,na,0.2493150684931507,0.018169151395855065,0.016800000000001224
fedfund future,fedfund future,3M,1M,98.4075,na,na,USD.OIS,USD.OIS,na,na,0.3315068493150685,0.017744269804530186,0.015925000000006413
fedfund future,fedfund future,4M,1M,98.48,na,na,USD.OIS,USD.OIS,na,na,0.41643835616438357,0.017325303879488958,0.015199999999999901
fedfund future,fedfund future,5M,1M,98.5025,na,na,USD.OIS,USD.OIS,na,na,0.4986301369863014,0.01702011729825145,0.014975000000000297
fedfund future,fedfund future,6M,1M,98.5475,na,na,USD.OIS,USD.OIS,na,na,0.5835616438356165,0.016725125825048787,0.014524999999998393
fedfund future,fedfund future,7M,1M,98.585,na,na,USD.OIS,USD.OIS,na,na,0.6684931506849315,0.016455912868648327,0.014150000000000933
fedfund future,fedfund future,8M,1M,98.61,na,na,USD.OIS,USD.OIS,na,na,0.7506849315068493,0.016226767376468873,0.013900000000006792
fedfund future,fedfund future,9M,1M,98.6375,na,na,USD.OIS,USD.OIS,na,na,0.8356164383561644,0.016006970034453567,0.013624999999996383
fedfund future,fedfund future,10M,1M,98.6675,na,na,USD.OIS,USD.OIS,na,na,0.9178082191780822,0.0158065464739899,0.013324999999986372
OIS Basis Swap,basis swap,Spot,1Y,0.003,3M,3M,USD.OIS,USD.OIS,USD.OISD,USD.LIBOR.3M,1.0027397260273974,0.013852605150288844,0.003000000000000167
